고장발생일,건물명,주소,승강기고유번호
2025-07-30,덕정은동마을주공1단지아파트,경기도 양주시 화합로1426번길 39 (덕정동),2130165
2025-07-30,펜타힐즈서한이다음,경상북도 경산시 옥산로 217 (중산동),6036899
2025-07-28,월성동삼성래미안,대구광역시 달서구 상원로 143 (월성동),6011985
2025-07-26,명곡미래빌1단지,"대구광역시 달성군 화원읍 명곡로 11 , 미래빌1단지",6027809
2025-07-26,중산3단지일신건영APT,"경기도 고양시 일산동구 중산로 260 (중산동, 중산마을3단지아파트)",2110646
2025-07-24,굴화강변월드메르디앙,울산광역시 울주군 범서읍 굴화1길 55 (굴화강변월드메르디앙),8039544
2025-07-23,소촌3차EG스위트밸리,"광주광역시 광산구 소촌로152번길 11 (소촌동, 스위트밸리3차아파트)",7001979
2025-07-22,강선3단지한신아파트,경기도 고양시 일산서구 대산로 58 (주엽동),2041757
2025-07-22,우성1차아파트,"충청북도 청주시 서원구 1순환로1013번길 10 (분평동, 우성1차아파트)",5020037
2025-07-21,동탄역에이스큐브,경기도 화성시 동탄기흥로 475 ,2256405
2025-07-20,고양대로보도육교,경기도 고양시 일산서구 대화동 2308-5,2207937
2025-07-20,탑마을타워빌,"경기도 성남시 분당구 양현로 272 (야탑동, 탑마을타워빌)",2051090
2025-07-19,김해복음병원,"경상남도 김해시 활천로 33 (삼정동, 김해복음병원)",8070830
2025-07-16,광주도시철도 상무역,광주광역시 서구 상무대로 777 (마륵동),7003798
2025-07-13,갈산힐스테이트,경기도 이천시 향교로 168 (갈산동),2023802
2025-07-13,골드레이크,"광주광역시 남구 노대실로 89 (노대동, 송화마을 휴먼시아)",7013355
2025-07-13,물왕동79-1번지,경기도 시흥시 물왕동 79-1번지외1필지 ,2279818
2025-07-12,수원아이파크시티6단지,경기도 수원시 권선구 곡선로 20 (권선동),2147712
2025-07-11,신한오피스텔,서울특별시 강남구 도산대로 510 (청담동),0078692
2025-07-10,김포양곡양지마을주공아파트,경기도 김포시 양촌읍 양곡1로 77 (양지마을주공아파트),2132601
2025-07-10,햇빛주공22단지아파트,경기도 고양시 덕양구 충장로152번길 40 (행신동),2018954
2025-07-09,당리반도보라아파트,"부산광역시 사하구 제석로79번길 11  (당리동, 당리반도보라맨션)",8054478
2025-07-09,센텀삼익아파트,부산광역시 해운대구 해운대로61번가길 6 (재송동),8054374
2025-07-09,호반베르디움1차아파트,"광주광역시 북구 첨단연신로133번길 8 (신용동, 광주첨단2지구 호반베르디움 1단지)",7037643
2025-07-08,그랜디스호텔,부산광역시 남구 남동천로 6 (문현동),8056523
2025-07-08,한국철도공사경춘선춘천역,강원특별자치도 춘천시 공지로 591  (근화동),4011132
2025-07-06,에비뉴파크2차,강원특별자치도 원주시 건강로 21-1 (반곡동),4013432
2025-07-06,제일빌딩,서울특별시 관악구 난곡로 296 (신림동),0090204
2025-07-05,논현휴먼시아범마을2단지,"인천광역시 남동구 은봉로166번길 27  (논현동, 범마을휴먼시아아파트)",2139537
2025-07-04,동부아파트,경상남도 양산시 고향의봄10길 27 (북정동),8023691
2025-07-04,양산극동아파트,경상남도 양산시 동면 계석로 10 ,8025844
2025-07-01,광장타워,전북특별자치도 전주시 덕진구 명륜5길 15-5 (덕진동1가),7025537
